Instance,Submission Date,Submitter,Duration,District,Kumban,Village,DELETED - Village Phin,Source type,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,Yield (s),Women user,Men,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Name RWS,Photo Pt 1,Lat,Lon,Elev,Geo code,Functionality,Quantity,Quality,Accessibility,Reliability,Photo of Source
301310,12-09-2014 04:16:35 UTC,___ _______,0:20:15,Atsaphone,Judsumnapord,"13-XX-045-???? ?????-""Nanhorn",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/225dd511-0ce6-4e3a-8c61-cef3c49fb8a0.jpg,Yes,Works well,30,4,5,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,When break down,___ ____ _____,https://akvoflow-34.s3.amazonaws.com/images/deb25c47-924e-45ff-b109-d95623752c68.jpg,16.93302707,105.4935261,156.8,602x7jduf,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/225dd511-0ce6-4e3a-8c61-cef3c49fb8a0.jpg
301422,12-09-2014 07:39:20 UTC,_. ________   _. _____,0:08:28,Atsaphone,Judsumnalaw,"13-XX-051-???? ??????-""Jormhart",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/26ba9a67-0b34-45b8-adcb-7da8505eacc6.jpg,Yes,Works well,15,7,8,Community,Yes,,Community,National institution,National institution,10 to 20,Community,Community box,_. _____,https://akvoflow-34.s3.amazonaws.com/images/22c61210-a70d-4fc5-a707-894d984719f4.jpg,16.90128174,105.4723795,157.6,5zocad0xv,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/26ba9a67-0b34-45b8-adcb-7da8505eacc6.jpg
301449,12-09-2014 09:53:00 UTC,_.______ __________,0:16:35,Atsaphone,Judsumnalaw,"13-XX-052-???? ?????-""Viengxai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/30323fbf-3515-4d9f-8900-7e3ded0c35aa.jpg,No,Doesn't work,,2,5,Community,No,Not working,Community,International NGO,International NGO,10 to 20,Community,,____________,https://akvoflow-34.s3.amazonaws.com/images/47f64166-a42a-4774-bdaa-e5c74d158b40.jpg,16.87983889,105.4609441,167.5,5zehjl2xd,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/30323fbf-3515-4d9f-8900-7e3ded0c35aa.jpg
301460,12-09-2014 10:00:21 UTC,_.______ __________,0:08:03,Atsaphone,Judsumnapord,"13-XX-049-???? ??????-""Kudhin",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/3a1c0256-9d8d-42c9-9941-d39d4e006962.jpg,Yes,Works well,10,6,1,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,When break down,_____________,https://akvoflow-34.s3.amazonaws.com/images/1373020c-3b52-4401-9ea3-3d56f4c5f211.jpg,16.86239707,105.3958084,154.4,5z6h49cau,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/3a1c0256-9d8d-42c9-9941-d39d4e006962.jpg
301624,12-09-2014 07:06:54 UTC,_. _________,0:14:41,Atsaphone,Directly under district,"13-XX-001-???? ??????????-""Hatdokkeo",,Ground / Spring,Borehole,Motor pump,,,Yes,Same pump used for extraction,2,https://akvoflow-34.s3.amazonaws.com/images/2a1f4e11-f341-424d-b0a8-520cd88984b8.jpg,Yes,Works well,21,1,4,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,Time,_________________,https://akvoflow-34.s3.amazonaws.com/images/8f05633b-8fde-48cf-89ee-f220723514e2.jpg,16.83846466,105.3367992,157.8,5yvhcydo7,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/2a1f4e11-f341-424d-b0a8-520cd88984b8.jpg
301625,12-09-2014 03:40:01 UTC,_. _________ __________,0:11:12,Atsaphone,Judsumphonengarm,"13-XX-028-?????????-""Kathinggnai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/b1e8a98c-db95-473b-9498-7a2185141ade.jpg,Yes,Works well,25,6,6,Community,Yes,,Community,International NGO,International NGO,< 5,Community,When break down,____________,https://akvoflow-34.s3.amazonaws.com/images/0af11242-22ba-4f6b-9f14-d44c533d4041.jpg,16.88905436,105.2157913,164.3,5ziq0xmkd,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/b1e8a98c-db95-473b-9498-7a2185141ade.jpg
301714,12-09-2014 07:17:54 UTC,_. _________,0:10:25,Atsaphone,Directly under district,"13-XX-001-???? ??????????-""Hatdokkeo",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/1ed7a853-b509-4c3e-af90-ac08eb5164a7.jpg,Yes,Works well,15,2,1,School,Yes,,Community,International NGO,International NGO,10 to 20,Community,No payment,_____________________,https://akvoflow-34.s3.amazonaws.com/images/944faaad-f92f-4528-a7fd-e144cf49701d.jpg,16.85057225,105.3278006,150.8,5z11mxpem,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/1ed7a853-b509-4c3e-af90-ac08eb5164a7.jpg
301805,12-09-2014 08:19:58 UTC,_. _________,0:13:23,Atsaphone,Directly under district,"13-XX-003-???? ????????-""Phakkagna",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/641d541b-5e0a-4595-b868-40cf6ea52fe9.jpg,Yes,Works well,13,2,2,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,No payment,____ _____,https://akvoflow-34.s3.amazonaws.com/images/58d952ed-157a-433d-94a0-63234808a80f.jpg,16.85759934,105.3405161,163.3,5z49qgo65,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/641d541b-5e0a-4595-b868-40cf6ea52fe9.jpg
301974,12-09-2014 09:54:22 UTC,___ _______,0:09:57,Atsaphone,Judsumphonengarm,"13-XX-023-???? ???????-""Phonnadee",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/7eb5385d-33d5-41ac-858c-158959ebee84.jpg,No,Doesn't work,,3,4,Community,No,Not working,Community,International NGO,International NGO,5 to 10,Community,,_____ ____ _____,https://akvoflow-34.s3.amazonaws.com/images/4f15a09d-33e4-4d06-942b-6dd8de96d1b5.jpg,16.87705138,105.2449698,120.2,5zd7kfzj5,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/7eb5385d-33d5-41ac-858c-158959ebee84.jpg
302069,12-09-2014 04:05:32 UTC,_.____,0:08:44,Atsaphone,Judsumnalaw,"13-XX-050-???? ?????????-""Buengphanae",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/cfbda424-47d8-42fa-bb0e-803aa02fef04.jpg,Yes,Works well,10,5,6,Community,Yes,,Community,Community,Community,5 to 10,Community,When break down,________ _.___,https://akvoflow-34.s3.amazonaws.com/images/85a5e88d-ce93-41ab-bd04-3527be92045b.jpg,16.89435777,105.4562206,155.1,5zl5of2le,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/cfbda424-47d8-42fa-bb0e-803aa02fef04.jpg
