Instance,Submission Date,Submitter,Duration,District,Kumban,Village,DELETED - Village Phin,Source type,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,Yield (s),Women user,Men,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Name RWS,Photo Pt 1,Lat,Lon,Elev,Geo code,Functionality,Quantity,Quality,Accessibility,Reliability,Photo of Source
6330946,11-09-2014 00:07:54 UTC,_. ____,0:11:21,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-037-???? ????????-""Dongkhamkouan",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/9bb1dde1-708f-4e6f-ac5d-e5e83dc843ff.jpg,No,Doesn't work,,3,5,Community,No,Not working,Community,International NGO,Don't know,5 to 10,Community,,____ ____,https://akvoflow-34.s3.amazonaws.com/images/8b76758e-aed7-4844-aca1-631e379d45d2.jpg,17.04684879,105.3149334,164.6,61j7l0yjh,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/9bb1dde1-708f-4e6f-ac5d-e5e83dc843ff.jpg
6331113,11-09-2014 02:02:58 UTC,_._______ _______,0:05:44,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-036-???? ??????-""Kangtha",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/e83994f6-39cf-4941-836a-a613a4696eed.jpg,Yes,Works well,50,5,6,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,When break down,________,https://akvoflow-34.s3.amazonaws.com/images/0ab5a31d-5a6f-430b-b28e-ee1fbcbf6dc2.jpg,17.03359689,105.2879312,145.6,61d4gbgwf,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/e83994f6-39cf-4941-836a-a613a4696eed.jpg
6331145,11-09-2014 02:50:56 UTC,_. _______,0:11:38,Atsaphone,Judsumkaengmom,"13-XX-038-???? ?????????-""Khokkatai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/65451905-f730-47c1-9c40-be3271248f05.jpg,Yes,Works well,22,6,5,Community,Yes,,Community,International NGO,International NGO,< 5,Community,Community box,_______,https://akvoflow-34.s3.amazonaws.com/images/2ed7cb31-8e6e-453e-9137-626b6c12cfa4.jpg,17.06660209,105.3726739,144.6,61sadmcke,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/65451905-f730-47c1-9c40-be3271248f05.jpg
6341042,12-09-2014 06:49:27 UTC,_.______ __________,0:18:47,Atsaphone,Judsumnalaw,"13-XX-057-???? ???????-""Nalaw",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/07541579-6c7b-49e5-9020-0c3c436a3795.jpg,Yes,Not well,25,4,4,Community|School,Yes,,Community,International NGO,International NGO,5 to 10,Community,No payment,______________________,https://akvoflow-34.s3.amazonaws.com/images/4c36d8a1-6c19-4384-9828-b10f1103ea56.jpg,16.83709134,105.4670301,244.7,5yuupajwu,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/07541579-6c7b-49e5-9020-0c3c436a3795.jpg
6341068,12-09-2014 08:25:49 UTC,_.______ __________,0:22:54,Atsaphone,Judsumnalaw,"13-XX-057-???? ???????-""Nalaw",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/553ca11b-ad65-4d0e-9036-e5135237fb2d.jpg,Yes,Not well,26,4,6,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,No payment,____ ______,https://akvoflow-34.s3.amazonaws.com/images/ab064325-0b5c-4c88-bb20-6b054a6da299.jpg,16.83868963,105.4676233,151.9,5yvkzxrro,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/553ca11b-ad65-4d0e-9036-e5135237fb2d.jpg
6341199,12-09-2014 08:59:52 UTC,_.______ __________,0:20:40,Atsaphone,Judsumnalaw,"13-XX-053-???? ?????-""Nakharm",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f8c48137-131c-4659-ab92-2c026b1e3b26.jpg,Yes,Not well,25,4,3,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,Community box,_________,https://akvoflow-34.s3.amazonaws.com/images/a02cd40f-32b6-40e8-aeeb-91d82aebbcb1.jpg,16.85968389,105.4729132,76.4,5z58asnih,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/f8c48137-131c-4659-ab92-2c026b1e3b26.jpg
6341258,12-09-2014 04:24:26 UTC,___ _______,0:21:51,Atsaphone,Judsumnapord,"13-XX-045-???? ?????-""Nanhorn",,Ground / Spring,Borehole,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/0d11500e-09f5-4b70-ad97-d9526aba6b51.jpg,Yes,Works well,55,4,4,Private,Yes,,Public,National institution,National institution,5 to 10,Private,When break down,_______________ ___,https://akvoflow-34.s3.amazonaws.com/images/d136fad5-7329-4d8b-85c4-c560dc8c7c98.jpg,16.93151266,105.4909727,180.3,60288iud9,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/0d11500e-09f5-4b70-ad97-d9526aba6b51.jpg
6341332,12-09-2014 09:14:58 UTC,_.______ __________,0:10:33,Atsaphone,Judsumnalaw,"13-XX-052-???? ?????-""Viengxai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/30bc0c7e-7204-4139-8c96-aeea32353b49.jpg,Yes,Works well,21,4,3,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,Community box,____________ _____,https://akvoflow-34.s3.amazonaws.com/images/b98de49e-569a-455d-bccc-747aa6f69a6e.jpg,16.88026542,105.4663619,151,5zeonlh3b,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/30bc0c7e-7204-4139-8c96-aeea32353b49.jpg
6341333,12-09-2014 02:44:38 UTC,_. ________   _. _____,0:52:27,Atsaphone,Judsumnalaw,"13-XX-059-???? ??????????-""Singsavang",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f30aa810-2c9e-4eda-8dc6-479415fc44ea.jpg,No,Doesn't work,,7,6,Community,No,Not working,Community,National institution,National institution,10 to 20,Community,,___ __,https://akvoflow-34.s3.amazonaws.com/images/71e78bc2-a9e2-4965-a021-2c028b636900.jpg,16.80978348,105.4361729,156.5,5yib1mgt5,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/f30aa810-2c9e-4eda-8dc6-479415fc44ea.jpg
6341399,12-09-2014 04:03:29 UTC,_. ________   _. _____,0:07:45,Atsaphone,Judsumnalaw,"13-XX-060-???? ??????-""Nathom",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c526dc24-63fc-434c-b1da-bfe68f921538.jpg,Yes,Works well,11,7,7,Community,Yes,,Community,National institution,National institution,5 to 10,Community,Community box,_. ______,https://akvoflow-34.s3.amazonaws.com/images/07339ea4-7649-4e14-923e-3cd2397095b7.jpg,16.8354226,105.4081557,152.5,5yu330n7l,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/c526dc24-63fc-434c-b1da-bfe68f921538.jpg
6341423,12-09-2014 07:41:57 UTC,_. ________   _. _____,0:06:53,Atsaphone,Judsumnalaw,"13-XX-051-???? ??????-""Jormhart",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f02e54da-1706-4160-a6ce-dfec985bde14.jpg,Yes,Works well,15,8,10,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,Community box,_. __,https://akvoflow-34.s3.amazonaws.com/images/1a71555f-84e8-4d4a-b087-10e50ad91e78.jpg,16.89999642,105.4726203,120.5,5znqybukm,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/f02e54da-1706-4160-a6ce-dfec985bde14.jpg
6341434,12-09-2014 07:44:35 UTC,_. ________   _. _____,0:12:10,Atsaphone,Judsumnalaw,"13-XX-051-???? ??????-""Jormhart",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/41fcc0b9-dfc2-48ed-bfd1-8a76ccdb603c.jpg,Yes,Works well,9,8,11,Community,Yes,,Community,Community,Community,>20,Community,Community box,_. ____,https://akvoflow-34.s3.amazonaws.com/images/e21d6a07-efe6-41dc-b7e6-1d642d048187.jpg,16.9005043,105.475779,138.6,5znzdyx45,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/41fcc0b9-dfc2-48ed-bfd1-8a76ccdb603c.jpg
6341489,12-09-2014 08:59:46 UTC,_. ________   _. _____,0:11:34,Atsaphone,Judsumnapord,"13-XX-048-???? ?????-""Napord",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/005bc364-78e4-49e9-acca-0ac39cb18417.jpg,Yes,Works well,15,8,10,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,Community box,___ _____,https://akvoflow-34.s3.amazonaws.com/images/eeea6c8d-8728-4b2f-b313-ca5a546c8d0e.jpg,16.91264823,105.4001491,149.1,5ztk5t8hd,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/005bc364-78e4-49e9-acca-0ac39cb18417.jpg
6341696,07-09-2014 06:53:20 UTC,_. _________,0:13:04,Atsaphone,Kumban 1,"13-01-008-???? ???????-""Songhong",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/762585eb-8f86-4122-a9e5-422af507412c.jpg,Yes,Works well,14,7,2,Community,Yes,,Community,National institution,National association,10 to 20,Community,Time,________,https://akvoflow-34.s3.amazonaws.com/images/fae845f8-c4d0-4124-a2b9-4f647631275a.jpg,16.93769719,105.3447001,158.9,6052fxnrb,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/762585eb-8f86-4122-a9e5-422af507412c.jpg
6341901,12-09-2014 08:49:56 UTC,_. _________,0:20:18,Atsaphone,Kumban 02,"13-02-011-???? ????????-""Navangmon",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c4a7e4e9-d394-4b44-b9f7-9e8ce6cac0de.jpg,Yes,Works well,11,6,5,Community|School,Yes,,Community,International NGO,International NGO,5 to 10,Community,No payment,_____________________ _____,https://akvoflow-34.s3.amazonaws.com/images/cf05925d-1795-465d-a202-fb6a3b2b1f5f.jpg,16.82646125,105.3734891,134.1,5ypywgqp2,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/c4a7e4e9-d394-4b44-b9f7-9e8ce6cac0de.jpg
6341919,12-09-2014 07:23:08 UTC,___ _______,0:11:14,Atsaphone,Kumban 04,"13-04-021-???? ???????????-""Donkaphoung",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/2c378929-b085-4d9c-a7a2-2694a9f0a961.jpg,No,Doesn't work,,5,2,Community,No,Not working,Community,International NGO,International NGO,5 to 10,Community,,_____ ____ ___,https://akvoflow-34.s3.amazonaws.com/images/e5f674fe-d97e-493a-ad94-f99fcddd8c10.jpg,16.93076167,105.2476189,164.5,601vtzosc,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/2c378929-b085-4d9c-a7a2-2694a9f0a961.jpg
6350913,11-09-2014 12:28:29 UTC,____. ______,0:08:46,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-034-???? ??????-""Bangbed",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/944a39ed-b9e0-4c33-9ac0-7b655742effa.jpg,No,Doesn't work,,7,8,Community,No,Not working,Community,International NGO,International NGO,10 to 20,Community,,_ ____,https://akvoflow-34.s3.amazonaws.com/images/e0031813-7cd1-4e0b-a272-adf1e75ed144.jpg,17.03716945,105.2174244,164.6,61erhsxzi,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/944a39ed-b9e0-4c33-9ac0-7b655742effa.jpg
6351033,12-09-2014 04:07:33 UTC,_____,0:08:54,Atsaphone,Judsumphonengarm,"13-XX-028-?????????-""Kathinggnai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/27cba66b-3a01-4781-8151-eb8d6be8466a.jpg,Yes,Works well,13,4,2,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,Community box,_____ _.___,https://akvoflow-34.s3.amazonaws.com/images/e00122f2-4357-4726-86bd-27f9b6fe66a9.jpg,16.88861629,105.2113869,157.1,5ziiqywcx,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/27cba66b-3a01-4781-8151-eb8d6be8466a.jpg
6351149,12-09-2014 03:09:45 UTC,___ _______,0:11:56,Atsaphone,Judsumnapord,"13-XX-045-???? ?????-""Nanhorn",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/2c140a4f-dd94-4b2a-b080-7373fbb73ebf.jpg,Yes,Works well,4,5,3,Community,Yes,,Community,Community,Community,>20,Community,No payment,_____ ____ ___,https://akvoflow-34.s3.amazonaws.com/images/c460c4a6-008b-413b-af72-7d9982faf5e4.jpg,16.92824815,105.4860702,157,600q5ne6k,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/2c140a4f-dd94-4b2a-b080-7373fbb73ebf.jpg
6351211,12-09-2014 08:30:29 UTC,___ _______,0:25:28,Atsaphone,Judsumnalaw,"13-XX-055-???? ????????-""Dongkhankham",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/506d3dbd-a9cd-4fe9-a6b6-25e74d0e9853.jpg,Yes,Works well,16,6,2,Community,Yes,,Community,Community,Community,>20,Community,No payment,______,https://akvoflow-34.s3.amazonaws.com/images/05931c5c-8e64-4b88-9ded-6d8f0d8462d8.jpg,16.8547398,105.5273285,160.9,5z2yfozhl,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/506d3dbd-a9cd-4fe9-a6b6-25e74d0e9853.jpg
6351246,12-09-2014 08:48:59 UTC,___ _______,0:22:58,Atsaphone,Judsumnalaw,"13-XX-058-???? ???????-""Nakapong",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/fcb54010-b363-4a62-a2c8-c1dc68451420.jpg,Yes,Works well,10,4,4,Community,Yes,,Community,Community,Community,>20,Community,When break down,____________,https://akvoflow-34.s3.amazonaws.com/images/86d0d22d-dac4-4671-a881-43175ae0c626.jpg,16.85969342,105.4425856,142.5,5z58gqzbt,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/fcb54010-b363-4a62-a2c8-c1dc68451420.jpg
6351405,12-09-2014 09:05:24 UTC,_. ________   _. _____,0:07:59,Atsaphone,Judsumnapord,"13-XX-048-???? ?????-""Napord",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/91b45191-779f-4a39-8021-911504f07674.jpg,No,Doesn't work,,8,11,Community,No,Not working,Community,International NGO,International NGO,>20,Community,,_. ______,https://akvoflow-34.s3.amazonaws.com/images/0dc3586d-e6af-48f5-9d0d-4451237891cb.jpg,16.91367039,105.3996651,166.7,5zu171pkc,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/91b45191-779f-4a39-8021-911504f07674.jpg
6351436,12-09-2014 07:00:53 UTC,___ _____ _____________ +____ ______,0:28:32,Atsaphone,Kumban 1,"13-01-008-???? ???????-""Songhong",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/68bd9ca9-cfd2-406c-9cca-3fcc4cc1e420.jpg,Yes,Works well,12,4,2,Community,Yes,,Community,International NGO,International NGO,< 5,Community,When break down,______,https://akvoflow-34.s3.amazonaws.com/images/a5f77bc9-8995-4efc-af74-97ea528992e6.jpg,16.92978848,105.3464704,129.2,601fmiwpk,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/68bd9ca9-cfd2-406c-9cca-3fcc4cc1e420.jpg
6351453,11-09-2014 11:33:17 UTC,_. _______,0:05:03,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-034-???? ??????-""Bangbed",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c8196e8f-9b77-493f-87fa-5efc9ce311cc.jpg,No,Doesn't work,,5,3,Community,No,Not working,Community,International NGO,International NGO,5 to 10,Community,,_______,https://akvoflow-34.s3.amazonaws.com/images/ca39a5df-35be-4363-9e57-b563b79319fe.jpg,17.03678279,105.2181011,165.2,61el7k845,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/c8196e8f-9b77-493f-87fa-5efc9ce311cc.jpg
6351525,12-09-2014 02:44:13 UTC,_. ________ ______,0:06:55,Atsaphone,Kumban 04,"13-04-018-???? ???????-""Somhong",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/1fdf1d06-4561-4fa2-814a-1a7352f4fb4f.jpg,Yes,Works well,10,6,2,Community,Yes,,Community,International NGO,International NGO,< 5,Community,No payment,_____ ___ ___,https://akvoflow-34.s3.amazonaws.com/images/a9c6488c-7255-44e6-86cb-a8082ddf73ae.jpg,16.93643907,105.2955203,154.4,604hlrh5n,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/1fdf1d06-4561-4fa2-814a-1a7352f4fb4f.jpg
6351586,12-09-2014 02:23:47 UTC,_. _______,0:08:44,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-031-???? ????-""Nakhae",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/e36bc3b7-53be-4cd1-a8d5-62e9a1d0a942.jpg,Yes,Not well,25,6,3,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,When break down,______,https://akvoflow-34.s3.amazonaws.com/images/d14e557b-2a44-45b6-82b8-3a2664dc2077.jpg,16.97261072,105.1821215,176.4,60l3yeey5,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/e36bc3b7-53be-4cd1-a8d5-62e9a1d0a942.jpg
6351607,12-09-2014 04:13:56 UTC,_. _________ __________,0:08:08,Atsaphone,Kumban 03,"13-03-016-???? ?????????-""Namarkkea",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d647fb00-6f22-4e08-9da6-2e9ce8705524.jpg,Yes,Works well,20,6,5,Community,Yes,,Community,Community,Community,5 to 10,Community,When break down,__ _________,https://akvoflow-34.s3.amazonaws.com/images/38de9351-6281-4ddb-a09a-897f05646b2b.jpg,16.90756492,105.2768074,155.3,5zr85b6g0,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/d647fb00-6f22-4e08-9da6-2e9ce8705524.jpg
6351676,12-09-2014 09:06:51 UTC,_. _________,0:12:12,Atsaphone,Kumban 02,"13-02-012-???? ?????-""Namon",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/53f8591c-1b28-483d-8fc1-fbdac397aac5.jpg,Yes,Works well,20,5,2,Community,Yes,,Private,International NGO,International NGO,10 to 20,Private,Time,_. __,https://akvoflow-34.s3.amazonaws.com/images/2986cbb8-9605-4af0-824c-020c55a3f0fb.jpg,16.84427227,105.3819771,170.8,5yy5g2upn,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/53f8591c-1b28-483d-8fc1-fbdac397aac5.jpg
6351708,12-09-2014 08:08:01 UTC,___ ________,0:09:00,Atsaphone,Judsumphonengarm,"13-XX-025-???? ???-""Bueng",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/bf8f6847-4d10-417d-9368-b706b66fdcd9.jpg,Yes,Works well,13,5,2,School,Yes,,Community,International NGO,International NGO,5 to 10,Community,Community box,______ _____ ____ ___,https://akvoflow-34.s3.amazonaws.com/images/d05f9002-0a54-4f5e-a4c5-b14a24789c85.jpg,16.88587928,105.2302398,137.5,5zh9fn6z2,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/bf8f6847-4d10-417d-9368-b706b66fdcd9.jpg
6361124,04-09-2014 07:43:15 UTC,_._____ _____________,0:20:01,Atsaphone,Directly under district,"13-XX-001-???? ??????????-""Hatdokkeo",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/553655cf-cbc5-41e7-a010-b1993c8d057a.jpg,No,Doesn't work,,0,1,Community|School,No,Not working|Management,National institution,National institution,International institution,5 to 10,National institution,,____ _____,https://akvoflow-34.s3.amazonaws.com/images/bde7d33c-10f0-4dc3-89be-86d61f76aaf2.jpg,16.85309578,105.3214465,129.9,5z27ba1su,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/553655cf-cbc5-41e7-a010-b1993c8d057a.jpg
6370968,04-09-2014 09:17:40 UTC,_. _________,0:21:19,Atsaphone,Directly under district,"13-XX-001-???? ??????????-""Hatdokkeo",,Ground / Spring,Borehole,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/27f5277d-a94d-4dc0-bb2d-1cda60eee09c.jpg,Yes,Works well,13,1,0,Private,Yes,,National institution,National institution,National institution,10 to 20,Private,Don't know,____ ____,https://akvoflow-34.s3.amazonaws.com/images/e32d285d-267a-4ec6-9f56-9be13942a97d.jpg,16.84159331,105.3318824,151.4,5ywx4h53a,Partial functionality,Met,Met,Met,Not met,https://akvoflow-34.s3.amazonaws.com/images/27f5277d-a94d-4dc0-bb2d-1cda60eee09c.jpg
6371132,04-09-2014 08:41:42 UTC,___ ________ _______,0:06:57,Atsaphone,Directly under district,"13-XX-003-???? ????????-""Phakkagna",,Ground / Spring,Borehole,Motor pump,,,Yes,Motor pump,1,https://akvoflow-34.s3.amazonaws.com/images/a4f48323-e0cd-41fc-98a8-ae910e0228ef.jpg,Yes,Works well,15,0,2,Private,Yes,,International institution,Private,International institution,10 to 20,Private,No payment,_____________,https://akvoflow-34.s3.amazonaws.com/images/6d123a2e-f76a-4ae4-a54c-2ec73ffcf67d.jpg,16.85581041,105.3355421,144.9,5z3gap3cb,Partial functionality,Met,Met,Met,Not met,https://akvoflow-34.s3.amazonaws.com/images/a4f48323-e0cd-41fc-98a8-ae910e0228ef.jpg
6371234,05-09-2014 04:38:52 UTC,____ ________ ______,0:21:46,Atsaphone,Kumban 1,"13-01-006-???? ?????????-""Nahangnoi",,Ground / Spring,Borehole,Motor pump,,,Yes,Same pump used for extraction,1,https://akvoflow-34.s3.amazonaws.com/images/52f6d77d-38bc-4a59-ac8b-4b5bdd2a8451.jpg,Yes,Works well,15,4,2,School,Yes,,National institution,National association,National association,5 to 10,______,No payment,______ ___________ _________,https://akvoflow-34.s3.amazonaws.com/images/1b5853ac-bb8c-4e7e-984d-2d7f70ba13e2.jpg,16.87208211,105.3643179,158.7,5zaxdfnwr,Partial functionality,Met,Met,Met,Not met,https://akvoflow-34.s3.amazonaws.com/images/52f6d77d-38bc-4a59-ac8b-4b5bdd2a8451.jpg
6371236,06-09-2014 02:46:11 UTC,_. _________ __________,0:17:40,Atsaphone,Kumban 03,"13-03-013-???? ???????-""Naduea",,Ground / Spring,Borehole,Motor pump,,,Yes,Same pump used for extraction,1,https://akvoflow-34.s3.amazonaws.com/images/8ad3658d-9386-49fe-bd13-23efaf8b3818.jpg,Yes,Works well,49,3,3,Private,Yes,,Private,National association,National association,10 to 20,National association,No payment,_ _____ ____________,https://akvoflow-34.s3.amazonaws.com/images/01f22cab-9c99-4ee0-9cd5-6ad0eb196791.jpg,16.86085398,105.3086901,157.7,5z5rnds0u,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/8ad3658d-9386-49fe-bd13-23efaf8b3818.jpg
6380945,05-09-2014 01:55:15 UTC,_. _________,0:02:28,Atsaphone,Directly under district,"13-XX-001-???? ??????????-""Hatdokkeo",,Ground / Spring,Borehole,Motor pump,,,Yes,Same pump used for extraction,1,https://akvoflow-34.s3.amazonaws.com/images/522acba6-e2c4-44c7-962f-40347ed73941.jpg,Yes,Works well,33,2,1,School,Yes,,Community,National institution,Private,10 to 20,Community,Community box,__________________________,https://akvoflow-34.s3.amazonaws.com/images/37cea0c8-e273-4862-856c-dcf46b726ebc.jpg,16.8432188,105.3344094,159.7,5yxnwzd40,No functionality,Not met,Met,Met,Not met,https://akvoflow-34.s3.amazonaws.com/images/522acba6-e2c4-44c7-962f-40347ed73941.jpg
6381134,06-09-2014 03:50:34 UTC,Kayson,0:28:53,Atsaphone,Kumban 03,"13-03-013-???? ???????-""Naduea",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/29da55eb-63e0-43ad-91ca-eb82faa71614.jpg,Yes,Works well,7,5,3,Community,Yes,,Community,Community,Community,>20,Community,Community box,_.____,https://akvoflow-34.s3.amazonaws.com/images/8762ab44-0bcf-4f91-aed9-73d617a267bd.jpg,16.8704506,105.3065598,152.7,5za6ez3ex,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/29da55eb-63e0-43ad-91ca-eb82faa71614.jpg
6381136,05-09-2014 19:35:44 UTC,_. _________,0:21:42,Atsaphone,Kumban 03,"13-03-014-???? ???????????-""Nakhawmin",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/e3577917-e404-4855-a974-09e2555365b8.jpg,Yes,Works well,11,2,0,Community,Yes,,Private,National institution,National association,10 to 20,Private,No payment,_____,https://akvoflow-34.s3.amazonaws.com/images/8d0c8929-fbcd-49eb-8bf8-faea269770db.jpg,16.87841981,105.2912803,152.7,5zdu25ils,Partial functionality,Met,Met,Met,Not met,https://akvoflow-34.s3.amazonaws.com/images/e3577917-e404-4855-a974-09e2555365b8.jpg
6390922,10-09-2014 22:38:39 UTC,____ ______,0:23:08,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-036-???? ??????-""Kangtha",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/02855809-4089-4549-a857-cce89eec332c.jpg,Yes,Not well,25,5,4,Community,Yes,,International NGO,International NGO,International NGO,10 to 20,Community,When break down,________,https://akvoflow-34.s3.amazonaws.com/images/632d5080-f163-446a-b385-6f5d7b96ec27.jpg,17.03838602,105.2688076,103.8,61fbo5seo,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/02855809-4089-4549-a857-cce89eec332c.jpg
