Identifier,Date*,Submitter,District,Village AtsVillage Phin,Quality,Quantity,Accessibility,Reliability,FS,HH_user_#,Get_Water,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Photo Pt 1,Lat,Long,HH # user,Drink prop',Main - why drink,Main - Not drink,Month used,Month water enough,Photo_Pt2,Photo_Pt3,Photo_Pt4,Photo_Pt5
rxqq-xv5y-wwuq,41886,___ ______ __________,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",2,2,5,,2,4,1,BH,Motor pump,,,Yes,Gravity,4,https://akvoflow-34.s3.amazonaws.com/images/4e99f7d4-aea0-48ec-a5b4-af38ac27e10c.jpg,Yes,Works well,Wat,Yes,,Community,Community,Community,< 5 years,Community,Fuel / Electricity,https://akvoflow-34.s3.amazonaws.com/images/34652a34-850a-404a-92d7-fc8e74a286ab.jpg,16.87095657,105.369249,1,Nobody,,,12,0-4,https://akvoflow-34.s3.amazonaws.com/images/4cbeef67-d4b4-4a1e-887c-9b438b63f863.jpg,https://akvoflow-34.s3.amazonaws.com/images/bca4291e-f89f-477d-92bb-daf05f5c510f.jpg,https://akvoflow-34.s3.amazonaws.com/images/3cf2f4c4-d18b-4d66-a979-26f4e0d236ca.jpg,
sdwy-u82m-x7r8,41886,___ ________ _______,13 - 13 - Atsaphone,"13-XX-003-____ ________-""Phakkagna",2,2,5,,2,1,1,DW,,,,Yes,Motor pump,1,https://akvoflow-34.s3.amazonaws.com/images/aa7a8f9b-1b7b-48ba-8568-3716576301ae.jpg,Yes,Works well,Private,Yes,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,https://akvoflow-34.s3.amazonaws.com/images/d165280c-777b-4675-b619-bea248de3a4a.jpg,16.86185781,105.3349332,1,Nobody,,,12,0-4,,,,
w3b7-3uf4-btd,41886,_. _________,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",2,2,5,,2,1,0,BH,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/27f5277d-a94d-4dc0-bb2d-1cda60eee09c.jpg,No,Works well,Private,Yes,,National institution,National institution,National institution,15-20,____ ____,_______,https://akvoflow-34.s3.amazonaws.com/images/e32d285d-267a-4ec6-9f56-9be13942a97d.jpg,16.84159331,105.3318824,1,Nobody,,,12,0-4,,,,
wdd6-6u2r-3a2e,41886,anousone,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",5,5,4,,4,11,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/245c6f8e-bffc-4ffb-83fd-14ff8d90f29f.jpg,No,Works well,Community,Yes,,National association,National association,National association,15-Oct,National association,Time,https://akvoflow-34.s3.amazonaws.com/images/971eecf6-9566-497b-99c1-b272c99742f8.jpg,16.89291562,105.3737948,11,All,Safe,,12,12,,,,
x84h-jw0y-kew8,41886,_______,13 - 13 - Atsaphone,"13-XX-002-_______-""Pasomxay",2,2,4,,2,12,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/83199b49-caaf-4372-baf1-3c2cef54968f.jpg,Yes,Works well,Community,Yes,,Community,National association,_____,>20,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/cf2afa59-be89-407a-9433-ee54bc236056.jpg,16.84078761,105.3274407,12,Nobody,,,12,12,,,,
x8s0-3shh-09rx,41886,___ _____ ________,13 - 13 - Atsaphone,"13-01-004-____ ________-""Nondern",2,2,2,,2,32,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c684ec71-1d9c-4df7-9f03-fb24049cfe7c.jpg,Yes,Works well,Community,Yes,,National association,Community,National association,15-Oct,National institution,Time,https://akvoflow-34.s3.amazonaws.com/images/69215365-8de7-4431-8474-fbb9043abf7f.jpg,16.86945628,105.3405326,32,Nobody,,,12,0-4,,,,
xc8k-guew-kwpg,41886,_._____,13 - 13 - Atsaphone,"13-01-004-____ ________-""Nondern",5,2,1,,1,0,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/0dcc8b3d-a4b2-4811-9094-84950ac58c30.jpg,No,Doesn't work,Community,No,Not working,National association,National association,National association,15-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/ea8ee68f-639a-459a-8234-565ebd41eb1b.jpg,16.86933176,105.339346,,Not in use,,,0-4,12,,,,
xek4-avra-dvv8,41886,___ ______ __________,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",2,2,4,,2,15,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a1150d8f-7567-4aa4-a279-142f7594e8f6.jpg,No,Works well,Community,Yes,,National association,National association,National association,< 5 years,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/d0817509-7f54-44a9-aff7-dad7aa091712.jpg,16.87003441,105.3684464,15,Nobody,,,12,0-4,,,,
17rv-yne6-vg02,41887,____ ________ ______,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",2,2,4,,2,25,0,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/9c77a9f8-80db-4249-836c-a7104671afb0.jpg,No,Works well,Community,Yes,,National institution,National institution,National association,< 5 years,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/59d642f4-e3f1-440a-933e-80acbb7ac14b.jpg,16.87175916,105.371675,25,Nobody,,,12,0-4,,,,
3jr5-m0hm-gfk7,41887,_ _________,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",2,2,5,,2,0,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/512b8d7a-94a2-4da8-8b8d-0620331a5878.jpg,No,Works well,School,Yes,,National institution,National association,National association,< 5 years,International institution,No payment,https://akvoflow-34.s3.amazonaws.com/images/1d7d9c5d-1cd9-448b-ba41-dd48b2e3d812.jpg,16.87185467,105.3616572,,Nobody,,,12,0-4,,,,
3ksj-745w-v1kp,41887,_. _________,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",5,1,1,,1,0,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/80f4d78f-6bd0-4a7b-918f-c45f5b669386.jpg,No,Doesn't work,Community,No,Not working,National institution,Don't know,Community,15-Oct,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/69109b07-d2f0-4702-8e25-892a581280ee.jpg,16.84070216,105.3344651,,Not in use,,,0-4,0-4,,,,
64h1-401r-w9er,41887,____ ________________,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",2,1,4,,1,23,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/9e63d706-86ed-499f-bfd1-8cf110ee803f.jpg,Yes,Works well,Community,Yes,,National association,______________________(Jvc),______________________(Jvc),< 5 years,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/6268ca9f-1236-4692-92c2-3ea1e67659e5.jpg,16.86814086,105.3680574,23,Few,Good colour,,12,0-4,,,,
9b2w-4hy9-k9ed,41887,_. _________,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",2,2,4,,2,2,1,BH,Motor pump,,,Yes,Same pump used for extraction,1,https://akvoflow-34.s3.amazonaws.com/images/522acba6-e2c4-44c7-962f-40347ed73941.jpg,Yes,Works well,School,Yes,,Community,National institution,Private,15-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/37cea0c8-e273-4862-856c-dcf46b726ebc.jpg,16.8432188,105.3344094,2,Nobody,,,12,0-4,,,,
